MSISDN,Latitude,Longitude,Datetime
9.18844E+11,18.630374,74.124181,12-04-2023 18:17
9.17617E+11,18.583543,74.159292,13-04-2023 16:48
9.14325E+11,18.462631,73.918582,10-09-2023 06:33
9.16615E+11,18.663222,73.875628,09-12-2023 12:31
9.15254E+11,18.644093,73.922566,23-01-2023 10:33
9.19941E+11,18.617609,73.999366,23-01-2023 10:53
9.12094E+11,18.68697,74.103863,18-03-2023 04:12
9.18043E+11,18.431644,74.074873,05-07-2023 13:30
9.14134E+11,18.655943,74.179501,28-04-2023 21:57
9.11676E+11,18.583361,74.080933,18-06-2023 06:33
9.15361E+11,18.57919,73.91272,09-10-2023 17:30
9.18297E+11,18.505539,73.800951,11-09-2023 18:40
9.18868E+11,18.487195,74.06346,25-07-2023 13:04
9.15538E+11,18.537625,74.08634,01-08-2023 03:13
9.1443E+11,18.434821,74.184924,24-10-2023 13:18
9.11056E+11,18.558634,73.878706,19-09-2023 14:30
9.16382E+11,18.536147,74.088707,27-05-2023 13:17
9.14823E+11,18.680419,74.181065,26-07-2023 01:47
9.10812E+11,18.694975,74.002176,05-08-2023 11:01
9.19814E+11,18.497901,73.935941,11-11-2023 17:14
9.14451E+11,18.559383,73.906776,31-01-2023 16:20
9.1631E+11,18.596407,73.853764,08-05-2023 20:31
9.16159E+11,18.647891,74.184802,01-06-2023 21:50
9.15538E+11,18.691858,73.945302,27-04-2023 10:44
9.1894E+11,18.697871,74.088185,08-09-2023 22:12
9.16801E+11,18.617981,74.121641,12-05-2023 16:14
9.12176E+11,18.532658,73.95759,08-12-2023 15:47
9.17795E+11,18.616498,74.173184,13-11-2023 16:04
9.10508E+11,18.58216,74.142588,23-08-2023 17:08
9.1028E+11,18.591197,74.197929,29-04-2023 14:32
9.16233E+11,18.415046,73.977753,11-01-2023 05:00
9.1815E+11,18.652236,73.979167,09-05-2023 10:39
9.14327E+11,18.492,73.957759,15-04-2023 09:08
9.18392E+11,18.407884,74.05524,16-06-2023 04:44
9.1007E+11,18.426263,73.836646,06-06-2023 15:44
9.177E+11,18.659646,74.168132,14-11-2023 12:33
9.14899E+11,18.435034,74.105539,16-08-2023 05:04
9.111E+11,18.515103,73.905553,23-03-2023 19:24
9.12602E+11,18.471636,74.122499,01-01-2023 19:25
9.16983E+11,18.628376,74.040152,15-07-2023 14:29
9.17708E+11,18.476314,74.0956,29-04-2023 17:28
9.16737E+11,18.422978,74.058896,06-01-2023 00:59
9.14621E+11,18.607564,73.965992,07-06-2023 23:24
9.15955E+11,18.655147,74.097175,26-02-2023 10:03
9.16573E+11,18.522337,73.995069,10-02-2023 05:42
9.18409E+11,18.416839,74.126181,28-02-2023 19:01
9.16398E+11,18.689189,74.044113,28-04-2023 15:59
9.17961E+11,18.614434,74.12224,22-12-2023 13:23
9.15419E+11,18.639316,73.824457,15-10-2023 17:36
9.19049E+11,18.6589,74.109887,29-04-2023 23:10
